Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1777781525.529816,10717,0,1
1,NewOrder,1777781525.540589,3422,0,1
2,Payment,1777781525.544047,6951,0,1
2,Payment,1777781525.551040,7010,0,1
2,Payment,1777781525.558097,1014,0,1
2,Payment,1777781525.559143,5602,0,1
1,NewOrder,1777781525.564780,4275,0,1
1,NewOrder,1777781525.569090,1425079,0,1
2,Payment,1777781526.995043,18108,0,1
2,Payment,1777781527.013348,1613,0,1
2,Payment,1777781527.016812,8461,0,1
2,Payment,1777781527.025389,2058,0,1
3,OrderStatus,1777781527.027486,55810,0,1
2,Payment,1777781527.083427,9784,0,1
1,NewOrder,1777781527.093265,4746,0,1
1,NewOrder,1777781527.098050,5844,0,1
1,NewOrder,1777781527.103924,6242,0,1
3,OrderStatus,1777781527.110199,64303,0,1
2,Payment,1777781527.174624,1347,0,1
2,Payment,1777781527.176010,8698,0,1
5,StockLevel,1777781527.184745,51553,0,1
2,Payment,1777781527.236365,9742,0,1
1,NewOrder,1777781527.246162,5925,0,1
2,Payment,1777781527.252127,8365,0,1
2,Payment,1777781527.260531,1554847,0,1
1,NewOrder,1777781528.819796,22845,0,1
2,Payment,1777781528.843093,6378,0,1
1,NewOrder,1777781528.849517,4707,0,1
1,NewOrder,1777781528.854272,3755,0,1
3,OrderStatus,1777781528.858059,76822,0,1
2,Payment,1777781528.935087,14449,0,1
2,Payment,1777781528.949579,6164,0,1
4,Delivery,1777781528.955817,891127,0,1
1,NewOrder,1777781529.847034,4782,0,1
1,NewOrder,1777781529.851867,4881,0,1
2,Payment,1777781529.856786,1714,0,1
1,NewOrder,1777781529.858533,1456774,0,1
1,NewOrder,1777781531.316376,17293,0,1
4,Delivery,1777781531.333920,887047,0,1
2,Payment,1777781532.221072,3928,0,1
1,NewOrder,1777781532.225050,9289,0,1
5,StockLevel,1777781532.234394,52838,0,1
4,Delivery,1777781532.287302,845845,0,1
2,Payment,1777781533.133214,10991,0,1
1,NewOrder,1777781533.144254,5898,0,1
3,OrderStatus,1777781533.150198,87891,0,1
1,NewOrder,1777781533.238327,5722,0,1
1,NewOrder,1777781533.244108,1604445,0,1
1,NewOrder,1777781534.851390,18721,0,1
1,NewOrder,1777781534.872064,7350,0,1
2,Payment,1777781534.880242,17187,0,1
1,NewOrder,1777781534.898038,6338,0,1
2,Payment,1777781534.904752,24545,0,1
1,NewOrder,1777781534.929699,7221,0,1
1,NewOrder,1777781534.937008,3555,0,1
1,NewOrder,1777781534.940593,3488,0,1
3,OrderStatus,1777781534.944108,59790,0,1
2,Payment,1777781535.004045,16282,0,1
3,OrderStatus,1777781535.020392,54184,0,1
2,Payment,1777781535.074640,2135,0,1
1,NewOrder,1777781535.076814,1457553,0,1
1,NewOrder,1777781536.535507,7778,0,1
1,NewOrder,1777781536.543657,5059,0,1
2,Payment,1777781536.548745,5271,0,1
1,NewOrder,1777781536.554043,3388,0,1
5,StockLevel,1777781536.557461,54281,0,1
2,Payment,1777781536.611851,2639,0,1
1,NewOrder,1777781536.614522,3728,0,1
2,Payment,1777781536.618280,912,0,1
1,NewOrder,1777781536.619286,6563,0,1
1,NewOrder,1777781536.626024,7559,0,1
2,Payment,1777781536.633638,833,0,1
1,NewOrder,1777781536.634590,1429045,0,1
4,Delivery,1777781538.064971,856854,0,1
1,NewOrder,1777781538.922183,8545,0,1
2,Payment,1777781538.930776,3179,0,1
2,Payment,1777781538.933985,1156,0,1
1,NewOrder,1777781538.935168,6609,0,1
2,Payment,1777781538.941805,1701,0,1
1,NewOrder,1777781538.943530,3195,0,1
2,Payment,1777781538.946753,12110,0,1
1,NewOrder,1777781538.958961,2968,0,1
2,Payment,1777781538.961967,7837,0,1
1,NewOrder,1777781538.969858,3083,0,1
1,NewOrder,1777781538.972969,1425247,0,1
2,Payment,1777781540.399476,19706,0,1
3,OrderStatus,1777781540.419409,49650,0,1
1,NewOrder,1777781540.469165,5252,0,1
2,Payment,1777781540.474461,9990,0,1
2,Payment,1777781540.484490,6074,0,1
2,Payment,1777781540.490598,5388,0,1
2,Payment,1777781540.496013,5105,0,1
1,NewOrder,1777781540.501149,4976,0,1
3,OrderStatus,1777781540.506154,50517,0,1
2,Payment,1777781540.556726,9943,0,1
2,Payment,1777781540.566747,7289,0,1
2,Payment,1777781540.574075,5793,0,1
3,OrderStatus,1777781540.579897,53749,0,1
2,Payment,1777781540.633698,9594,0,1
4,Delivery,1777781540.643330,856749,0,1
2,Payment,1777781541.500326,1467279,0,1
1,NewOrder,1777781542.968715,7056,0,1
1,NewOrder,1777781542.975894,6018,0,1
1,NewOrder,1777781542.981948,4694,0,1
2,Payment,1777781542.986669,2320,0,1
2,Payment,1777781542.989015,1586,0,1
1,NewOrder,1777781542.990627,5164,0,1
1,NewOrder,1777781542.995817,1467685,0,1
2,Payment,1777781544.465112,10816,0,1
1,NewOrder,1777781544.476200,8942,0,1
3,OrderStatus,1777781544.485176,65422,0,1
1,NewOrder,1777781544.550810,7173,0,1
2,Payment,1777781544.558025,11762,0,1
1,NewOrder,1777781544.569928,5826,0,1
1,NewOrder,1777781544.575789,1416494,0,1
2,Payment,1777781545.993683,16160,0,1
3,OrderStatus,1777781546.010333,60889,0,1
1,NewOrder,1777781546.071414,16734,0,1
1,NewOrder,1777781546.088243,8965,0,1
5,StockLevel,1777781546.097248,54144,0,1
1,NewOrder,1777781546.151510,3393,0,1
1,NewOrder,1777781546.154954,3346,0,1
1,NewOrder,1777781546.158329,4859,0,1
1,NewOrder,1777781546.163214,1416220,0,1
1,NewOrder,1777781547.580625,6958,0,1
2,Payment,1777781547.587751,14874,0,1
3,OrderStatus,1777781547.602843,56136,0,1
1,NewOrder,1777781547.659114,6533,0,1
2,Payment,1777781547.665697,10114,0,1
1,NewOrder,1777781547.675851,4842,0,1
1,NewOrder,1777781547.680722,4940,0,1
2,Payment,1777781547.685691,1104,0,1
1,NewOrder,1777781547.686819,1447053,0,1
2,Payment,1777781549.135470,9015,0,1
2,Payment,1777781549.144788,11070,0,1
2,Payment,1777781549.155903,7689,0,1
5,StockLevel,1777781549.163629,57299,0,1
1,NewOrder,1777781549.221085,6251,0,1
1,NewOrder,1777781549.227391,6332,0,1
1,NewOrder,1777781549.233757,6579,0,1
