Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1779576774.935033,1858,0,1
1,NewOrder,1779576774.936971,8657,0,1
2,Payment,1779576774.945683,3090,0,1
3,OrderStatus,1779576774.948835,5746,0,1
5,StockLevel,1779576774.954647,6132,0,1
2,Payment,1779576774.960841,5017,0,1
1,NewOrder,1779576774.965908,9500,0,1
1,NewOrder,1779576774.976817,4664,0,1
2,Payment,1779576774.981561,4117,0,1
2,Payment,1779576774.985839,4260,0,1
1,NewOrder,1779576774.990193,7179,0,1
1,NewOrder,1779576774.997404,6475,0,1
1,NewOrder,1779576775.003936,7096,0,1
2,Payment,1779576775.011062,3191,0,1
1,NewOrder,1779576775.014330,6531,0,1
2,Payment,1779576775.020892,1772,0,1
2,Payment,1779576775.022693,1560,0,1
1,NewOrder,1779576775.024280,3454,0,1
1,NewOrder,1779576775.027762,5880,0,1
1,NewOrder,1779576775.033671,14823,0,1
2,Payment,1779576775.048544,1839,0,1
2,Payment,1779576775.050412,1570,0,1
1,NewOrder,1779576775.052022,44304,0,1
2,Payment,1779576775.096446,11197,0,1
2,Payment,1779576775.107741,5084,0,1
2,Payment,1779576775.112878,5159,0,1
2,Payment,1779576775.118097,11567,0,1
3,OrderStatus,1779576775.129783,12994,0,1
1,NewOrder,1779576775.142850,15870,0,1
2,Payment,1779576775.158782,9818,0,1
1,NewOrder,1779576775.168661,17724,0,1
2,Payment,1779576775.186461,2907,0,1
1,NewOrder,1779576775.189432,5429,0,1
2,Payment,1779576775.194895,2962,0,1
2,Payment,1779576775.197889,1747,0,1
1,NewOrder,1779576775.199668,7618,0,1
2,Payment,1779576775.207359,1780,0,1
2,Payment,1779576775.209167,1674,0,1
1,NewOrder,1779576775.210870,9223,0,1
2,Payment,1779576775.220131,2912,0,1
1,NewOrder,1779576775.223074,5114,0,1
2,Payment,1779576775.228221,2863,0,1
1,NewOrder,1779576775.231113,8851,0,1
2,Payment,1779576775.240039,4255,0,1
1,NewOrder,1779576775.244326,4359,0,1
2,Payment,1779576775.248715,3017,0,1
2,Payment,1779576775.251765,2010,0,1
1,NewOrder,1779576775.253805,8467,0,1
2,Payment,1779576775.262303,1786,0,1
1,NewOrder,1779576775.264119,12455,0,1
2,Payment,1779576775.276788,4135,0,1
1,NewOrder,1779576775.280960,7404,0,1
5,StockLevel,1779576775.288540,2626,0,1
2,Payment,1779576775.291246,2561,0,1
1,NewOrder,1779576775.293917,5844,0,1
1,NewOrder,1779576775.299790,6785,0,1
2,Payment,1779576775.306608,1782,0,1
1,NewOrder,1779576775.308449,3406,0,1
2,Payment,1779576775.311936,2305,0,1
1,NewOrder,1779576775.314270,14615,0,1
2,Payment,1779576775.328922,6099,0,1
1,NewOrder,1779576775.335053,2781,0,1
3,OrderStatus,1779576775.337863,2398,0,1
1,NewOrder,1779576775.340289,9826,0,1
