Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1779576603.006103,1631,0,1
2,Payment,1779576603.007764,1703,0,1
2,Payment,1779576603.009514,1712,0,1
1,NewOrder,1779576603.011257,2150,0,1
2,Payment,1779576603.013436,1638,0,1
1,NewOrder,1779576603.015106,44380,0,1
2,Payment,1779576603.059788,11108,0,1
1,NewOrder,1779576603.070941,5491,0,1
4,Delivery,1779576603.076475,3329,0,1
2,Payment,1779576603.079846,2056,0,1
2,Payment,1779576603.081946,8677,0,1
2,Payment,1779576603.090673,3739,0,1
1,NewOrder,1779576603.094445,3519,0,1
3,OrderStatus,1779576603.098000,3607,0,1
2,Payment,1779576603.101658,2229,0,1
1,NewOrder,1779576603.103942,2429,0,1
1,NewOrder,1779576603.106404,3368,0,1
2,Payment,1779576603.109808,3746,0,1
1,NewOrder,1779576603.113589,12490,0,1
2,Payment,1779576603.126143,5132,0,1
1,NewOrder,1779576603.131325,3309,0,1
1,NewOrder,1779576603.134677,2681,0,1
2,Payment,1779576603.137393,1792,0,1
1,NewOrder,1779576603.139224,3169,0,1
1,NewOrder,1779576603.142424,2695,0,1
1,NewOrder,1779576603.145154,3781,0,1
2,Payment,1779576603.148971,1803,0,1
2,Payment,1779576603.150809,1996,0,1
2,Payment,1779576603.152838,2004,0,1
1,NewOrder,1779576603.154875,2844,0,1
1,NewOrder,1779576603.157760,3146,0,1
1,NewOrder,1779576603.160937,2252,0,1
1,NewOrder,1779576603.163223,2495,0,1
1,NewOrder,1779576603.165751,2282,0,1
5,StockLevel,1779576603.168077,2370,0,1
1,NewOrder,1779576603.170492,2418,0,1
1,NewOrder,1779576603.172943,5536,0,1
5,StockLevel,1779576603.178535,2567,0,1
1,NewOrder,1779576603.181136,2150,0,1
4,Delivery,1779576603.183317,2103,0,1
2,Payment,1779576603.185451,1635,0,1
1,NewOrder,1779576603.187116,3093,0,1
1,NewOrder,1779576603.190254,3819,0,1
2,Payment,1779576603.194106,2406,0,1
1,NewOrder,1779576603.196543,2171,0,1
4,Delivery,1779576603.198746,2209,0,1
2,Payment,1779576603.200986,1692,0,1
1,NewOrder,1779576603.202710,3608,0,1
1,NewOrder,1779576603.206456,2603,0,1
1,NewOrder,1779576603.209148,2440,0,1
1,NewOrder,1779576603.211622,2261,0,1
1,NewOrder,1779576603.213925,2708,0,1
1,NewOrder,1779576603.216678,2200,0,1
1,NewOrder,1779576603.218909,2334,0,1
2,Payment,1779576603.221276,1683,0,1
1,NewOrder,1779576603.222990,2352,0,1
3,OrderStatus,1779576603.225381,3636,0,1
1,NewOrder,1779576603.229079,2214,0,1
1,NewOrder,1779576603.231340,1957,0,1
2,Payment,1779576603.233391,1486,0,1
1,NewOrder,1779576603.234903,2159,0,1
1,NewOrder,1779576603.237092,2217,0,1
2,Payment,1779576603.239354,2444,0,1
2,Payment,1779576603.241847,1850,0,1
1,NewOrder,1779576603.243746,2287,0,1
2,Payment,1779576603.246076,1661,0,1
2,Payment,1779576603.247768,1619,0,1
4,Delivery,1779576603.249415,2463,0,1
2,Payment,1779576603.251907,1854,0,1
2,Payment,1779576603.253794,1510,0,1
1,NewOrder,1779576603.255349,1968,0,1
1,NewOrder,1779576603.257358,2078,0,1
1,NewOrder,1779576603.259466,2029,0,1
2,Payment,1779576603.261542,1534,0,1
5,StockLevel,1779576603.263105,2324,0,1
1,NewOrder,1779576603.265459,2977,0,1
4,Delivery,1779576603.268469,3498,0,1
2,Payment,1779576603.271998,2745,0,1
2,Payment,1779576603.274776,2088,0,1
1,NewOrder,1779576603.276895,2340,0,1
1,NewOrder,1779576603.279272,2413,0,1
2,Payment,1779576603.281716,1628,0,1
1,NewOrder,1779576603.283375,2394,0,1
2,Payment,1779576603.285802,1608,0,1
2,Payment,1779576603.287452,1894,0,1
2,Payment,1779576603.289377,1731,0,1
3,OrderStatus,1779576603.291168,2642,0,1
2,Payment,1779576603.293864,2169,0,1
2,Payment,1779576603.296082,2365,0,1
2,Payment,1779576603.298477,2511,0,1
2,Payment,1779576603.301059,1783,0,1
1,NewOrder,1779576603.302870,2542,0,1
1,NewOrder,1779576603.305460,3045,0,1
1,NewOrder,1779576603.308555,2240,0,1
1,NewOrder,1779576603.310891,2085,0,1
1,NewOrder,1779576603.313005,1977,0,1
2,Payment,1779576603.315015,2645,0,1
2,Payment,1779576603.317710,1868,0,1
2,Payment,1779576603.319612,2470,0,1
2,Payment,1779576603.322185,3000,0,1
1,NewOrder,1779576603.325369,15678,0,1
5,StockLevel,1779576603.343082,7395,0,1
1,NewOrder,1779576603.350614,8040,0,1
2,Payment,1779576603.358920,7945,0,1
2,Payment,1779576603.367054,5374,0,1
1,NewOrder,1779576603.372878,4190,0,1
2,Payment,1779576603.377463,5859,0,1
1,NewOrder,1779576603.383416,3983,0,1
1,NewOrder,1779576603.387527,3586,0,1
2,Payment,1779576603.391172,2423,0,1
2,Payment,1779576603.393654,9437,0,1
1,NewOrder,1779576603.403268,8621,0,1
1,NewOrder,1779576603.412077,7149,0,1
2,Payment,1779576603.419274,10773,0,1
2,Payment,1779576603.430238,3758,0,1
2,Payment,1779576603.434088,2122,0,1
1,NewOrder,1779576603.436246,2750,0,1
1,NewOrder,1779576603.439062,2792,0,1
4,Delivery,1779576603.441919,2620,0,1
1,NewOrder,1779576603.444587,2561,0,1
2,Payment,1779576603.447204,1506,0,1
1,NewOrder,1779576603.448792,2265,0,1
4,Delivery,1779576603.451092,2270,0,1
2,Payment,1779576603.453392,1523,0,1
5,StockLevel,1779576603.454973,2175,0,1
5,StockLevel,1779576603.457181,2086,0,1
1,NewOrder,1779576603.459359,2229,0,1
2,Payment,1779576603.461685,1541,0,1
3,OrderStatus,1779576603.463329,2416,0,1
1,NewOrder,1779576603.465782,2748,0,1
2,Payment,1779576603.468581,2204,0,1
1,NewOrder,1779576603.470835,2532,0,1
1,NewOrder,1779576603.473417,2011,0,1
1,NewOrder,1779576603.475474,2337,0,1
2,Payment,1779576603.477853,1746,0,1
2,Payment,1779576603.479639,1658,0,1
2,Payment,1779576603.481336,1549,0,1
1,NewOrder,1779576603.482927,2514,0,1
1,NewOrder,1779576603.485482,3091,0,1
5,StockLevel,1779576603.488605,2672,0,1
2,Payment,1779576603.491321,1561,0,1
1,NewOrder,1779576603.492957,2196,0,1
1,NewOrder,1779576603.495225,2148,0,1
1,NewOrder,1779576603.497455,2154,0,1
2,Payment,1779576603.499639,1803,0,1
2,Payment,1779576603.501519,2033,0,1
1,NewOrder,1779576603.503593,2644,0,1
2,Payment,1779576603.506367,1465,0,1
1,NewOrder,1779576603.507881,2200,0,1
1,NewOrder,1779576603.510121,2340,0,1
1,NewOrder,1779576603.512541,2353,0,1
1,NewOrder,1779576603.514991,2705,0,1
1,NewOrder,1779576603.517755,2430,0,1
2,Payment,1779576603.520226,2569,0,1
5,StockLevel,1779576603.522938,2859,0,1
1,NewOrder,1779576603.525836,2458,0,1
2,Payment,1779576603.528349,2094,0,1
2,Payment,1779576603.530550,1648,0,1
2,Payment,1779576603.532289,1842,0,1
1,NewOrder,1779576603.534173,2559,0,1
1,NewOrder,1779576603.536808,2203,0,1
2,Payment,1779576603.539055,1435,0,1
2,Payment,1779576603.540702,1561,0,1
2,Payment,1779576603.542295,1440,0,1
2,Payment,1779576603.543766,1490,0,1
5,StockLevel,1779576603.545286,2879,0,1
1,NewOrder,1779576603.548217,6689,0,1
2,Payment,1779576603.554950,2395,0,1
1,NewOrder,1779576603.557383,2454,0,1
2,Payment,1779576603.559879,1711,0,1
1,NewOrder,1779576603.561621,2114,0,1
2,Payment,1779576603.563829,1348,0,1
1,NewOrder,1779576603.565203,2332,0,1
2,Payment,1779576603.567581,1522,0,1
2,Payment,1779576603.569150,1578,0,1
1,NewOrder,1779576603.570767,6473,0,1
1,NewOrder,1779576603.577288,6744,0,1
2,Payment,1779576603.584085,1880,0,1
3,OrderStatus,1779576603.586012,2440,0,1
2,Payment,1779576603.588481,1585,0,1
2,Payment,1779576603.590097,1355,0,1
1,NewOrder,1779576603.591481,3490,0,1
1,NewOrder,1779576603.595004,2734,0,1
4,Delivery,1779576603.597772,2441,0,1
2,Payment,1779576603.600312,1349,0,1
2,Payment,1779576603.601784,1332,0,1
2,Payment,1779576603.603227,1373,0,1
4,Delivery,1779576603.604685,2186,0,1
1,NewOrder,1779576603.606951,1964,0,1
2,Payment,1779576603.609011,1358,0,1
2,Payment,1779576603.610473,3287,0,1
2,Payment,1779576603.613846,3487,0,1
2,Payment,1779576603.617432,4915,0,1
1,NewOrder,1779576603.622452,2532,0,1
2,Payment,1779576603.625083,2544,0,1
1,NewOrder,1779576603.627712,2177,0,1
3,OrderStatus,1779576603.629980,2279,0,1
1,NewOrder,1779576603.632344,2040,0,1
1,NewOrder,1779576603.634498,2783,0,1
2,Payment,1779576603.637379,11489,0,1
1,NewOrder,1779576603.648965,2522,0,1
1,NewOrder,1779576603.651631,3826,0,1
1,NewOrder,1779576603.655548,2986,0,1
3,OrderStatus,1779576603.658647,2557,0,1
1,NewOrder,1779576603.661285,2852,0,1
2,Payment,1779576603.664202,2294,0,1
4,Delivery,1779576603.666597,2509,0,1
2,Payment,1779576603.669186,1978,0,1
4,Delivery,1779576603.671247,2416,0,1
2,Payment,1779576603.673764,1635,0,1
1,NewOrder,1779576603.675486,2688,0,1
3,OrderStatus,1779576603.678314,9318,0,1
2,Payment,1779576603.687724,2123,0,1
2,Payment,1779576603.689933,1831,0,1
1,NewOrder,1779576603.691847,3401,0,1
2,Payment,1779576603.695289,2088,0,1
1,NewOrder,1779576603.697408,2144,0,1
1,NewOrder,1779576603.699583,3519,0,1
1,NewOrder,1779576603.703155,4783,0,1
4,Delivery,1779576603.707989,2904,0,1
4,Delivery,1779576603.710956,2027,0,1
1,NewOrder,1779576603.713013,1917,0,1
1,NewOrder,1779576603.714960,2119,0,1
2,Payment,1779576603.717108,1640,0,1
1,NewOrder,1779576603.718779,2251,0,1
1,NewOrder,1779576603.721081,1978,0,1
2,Payment,1779576603.723093,2252,0,1
2,Payment,1779576603.725406,1463,0,1
2,Payment,1779576603.726898,1914,0,1
2,Payment,1779576603.728861,2283,0,1
1,NewOrder,1779576603.731416,3593,0,1
1,NewOrder,1779576603.735272,9881,0,1
4,Delivery,1779576603.745493,5667,0,1
4,Delivery,1779576603.751293,21851,0,1
1,NewOrder,1779576603.776676,7645,0,1
